date,store,lat,lon,sales_nok,promotion
2024-01-01,Bergen Storsenter,60.3756,5.3488,0,0
2024-01-01,Oslo City,59.9241,10.7713,0,0
2024-01-01,Trondheim Torg,63.4412,10.4175,0,0
2024-01-02,Bergen Storsenter,60.3756,5.3488,55440,0
2024-01-02,Oslo City,59.9241,10.7713,85060,0
2024-01-02,Trondheim Torg,63.4412,10.4175,38100,0
2024-01-03,Bergen Storsenter,60.3756,5.3488,69030,1
2024-01-03,Oslo City,59.9241,10.7713,124990,1
2024-01-03,Trondheim Torg,63.4412,10.4175,43010,1
2024-01-04,Bergen Storsenter,60.3756,5.3488,88100,1
2024-01-04,Oslo City,59.9241,10.7713,155730,1
2024-01-04,Trondheim Torg,63.4412,10.4175,47530,1
2024-01-05,Bergen Storsenter,60.3756,5.3488,97970,1
2024-01-05,Oslo City,59.9241,10.7713,181090,1
2024-01-05,Trondheim Torg,63.4412,10.4175,48830,1
2024-01-06,Bergen Storsenter,60.3756,5.3488,123640,1
2024-01-06,Oslo City,59.9241,10.7713,157570,1
2024-01-06,Trondheim Torg,63.4412,10.4175,50870,1
2024-01-07,Bergen Storsenter,60.3756,5.3488,40320,1
2024-01-07,Oslo City,59.9241,10.7713,49910,1
2024-01-07,Trondheim Torg,63.4412,10.4175,19100,1
2024-01-08,Bergen Storsenter,60.3756,5.3488,58200,1
2024-01-08,Oslo City,59.9241,10.7713,90240,1
2024-01-08,Trondheim Torg,63.4412,10.4175,36430,1
2024-01-09,Bergen Storsenter,60.3756,5.3488,60870,1
2024-01-09,Oslo City,59.9241,10.7713,94590,1
2024-01-09,Trondheim Torg,63.4412,10.4175,31210,1
2024-01-10,Bergen Storsenter,60.3756,5.3488,76490,1
2024-01-10,Oslo City,59.9241,10.7713,118620,1
2024-01-10,Trondheim Torg,63.4412,10.4175,43840,1
2024-01-11,Bergen Storsenter,60.3756,5.3488,87430,1
2024-01-11,Oslo City,59.9241,10.7713,131990,1
2024-01-11,Trondheim Torg,63.4412,10.4175,47160,1
2024-01-12,Bergen Storsenter,60.3756,5.3488,111650,1
2024-01-12,Oslo City,59.9241,10.7713,145770,1
2024-01-12,Trondheim Torg,63.4412,10.4175,81810,1
2024-01-13,Bergen Storsenter,60.3756,5.3488,108450,1
2024-01-13,Oslo City,59.9241,10.7713,200320,1
2024-01-13,Trondheim Torg,63.4412,10.4175,78660,1
2024-01-14,Bergen Storsenter,60.3756,5.3488,39570,1
2024-01-14,Oslo City,59.9241,10.7713,59010,1
2024-01-14,Trondheim Torg,63.4412,10.4175,21550,1
2024-01-15,Bergen Storsenter,60.3756,5.3488,61630,1
2024-01-15,Oslo City,59.9241,10.7713,92370,1
2024-01-15,Trondheim Torg,63.4412,10.4175,34560,1
2024-01-16,Bergen Storsenter,60.3756,5.3488,67370,1
2024-01-16,Oslo City,59.9241,10.7713,88830,1
2024-01-16,Trondheim Torg,63.4412,10.4175,38930,1
2024-01-17,Bergen Storsenter,60.3756,5.3488,76110,1
2024-01-17,Oslo City,59.9241,10.7713,96480,1
2024-01-17,Trondheim Torg,63.4412,10.4175,40490,1
2024-01-18,Bergen Storsenter,60.3756,5.3488,83710,1
2024-01-18,Oslo City,59.9241,10.7713,97300,1
2024-01-18,Trondheim Torg,63.4412,10.4175,46480,1
2024-01-19,Bergen Storsenter,60.3756,5.3488,103430,1
2024-01-19,Oslo City,59.9241,10.7713,122780,1
2024-01-19,Trondheim Torg,63.4412,10.4175,77560,1
2024-01-20,Bergen Storsenter,60.3756,5.3488,104680,1
2024-01-20,Oslo City,59.9241,10.7713,143060,1
2024-01-20,Trondheim Torg,63.4412,10.4175,77840,1
2024-01-21,Bergen Storsenter,60.3756,5.3488,31560,1
2024-01-21,Oslo City,59.9241,10.7713,53750,1
2024-01-21,Trondheim Torg,63.4412,10.4175,20940,1
2024-01-22,Bergen Storsenter,60.3756,5.3488,56000,1
2024-01-22,Oslo City,59.9241,10.7713,87920,1
2024-01-22,Trondheim Torg,63.4412,10.4175,54160,1
2024-01-23,Bergen Storsenter,60.3756,5.3488,66380,1
2024-01-23,Oslo City,59.9241,10.7713,96420,1
2024-01-23,Trondheim Torg,63.4412,10.4175,47670,1
2024-01-24,Bergen Storsenter,60.3756,5.3488,70200,1
2024-01-24,Oslo City,59.9241,10.7713,103830,1
2024-01-24,Trondheim Torg,63.4412,10.4175,44470,1
2024-01-25,Bergen Storsenter,60.3756,5.3488,71530,1
2024-01-25,Oslo City,59.9241,10.7713,116810,1
2024-01-25,Trondheim Torg,63.4412,10.4175,56430,1
2024-01-26,Bergen Storsenter,60.3756,5.3488,103560,1
2024-01-26,Oslo City,59.9241,10.7713,144350,1
2024-01-26,Trondheim Torg,63.4412,10.4175,78150,1
2024-01-27,Bergen Storsenter,60.3756,5.3488,90780,1
2024-01-27,Oslo City,59.9241,10.7713,158710,1
2024-01-27,Trondheim Torg,63.4412,10.4175,65770,1
2024-01-28,Bergen Storsenter,60.3756,5.3488,25050,0
2024-01-28,Oslo City,59.9241,10.7713,47070,0
2024-01-28,Trondheim Torg,63.4412,10.4175,25370,0
2024-01-29,Bergen Storsenter,60.3756,5.3488,48680,0
